variant_id,var_colour,var_pantone,var_hex,material_id
1169,fudge,19-1619,493338,391
1662,00004,,,1804
1663,00005,,,1804
1664,00006,,,1804
1665,00007,,,1804
1666,00008,,,1804
1805,007295,,,487
1804,007233,,,487
1812,004505,,,657
1813,004487,,,657
1811,005945,,,657
1815,003333,,,657
1817,000615,,,657
1816,002775,,,657
1810,007864,,,657
147,fudge,19-1619,493338,192
1814,004441,,,657
1818,000001,,,496
1821,000004,,,496
1819,000002,,,496
1820,000003,,,496
1822,000005,,,496
1823,000006,,,496
1824,000008,,,496
1826,000010,,,496
1827,000011,,,496
1825,000009,,,496
1828,000012,,,496
1832,004030,,,652
1831,001780,,,652
1834,002409,,,652
1835,004002,,,652
1833,005985,,,652
1839,007570,,,501
1778,black,,,1145
2027,4,,,1137
2026,3,,,1137
226,black iris,19-3921,2b3042,384
2035,13,,,1209
1854,000016,,,660
1855,000017,,,660
1857,000019,,,660
1860,000022,,,660
256,010414,,,490
253,003158,,,487
258,007917,19-1619,493338,492
267,001780,,,501
252,006981,,,486
2031,8,,,1137
1658,00004,,,1806
1305,fudge,19-1619,493338,1577
1654,Olive,19-0511,545144,1802
2039,17,,,1209
2037,15,,,1209
2007,Natural,,,2044
1996,Natural,,,2046
2008,Pink,,,2046
2281,004752,,,2251
2282,006771,,,2251
2284,007553,,,2251
2286,006915,,,2251
2288,007607,,,2251
2312,007010,,,2245
2268,Natural,,,2240
2267,White,,,2239
2266,White,,,2238
2265,White,,,2237
2264,White,,,2236
2263,Natural,,,2235
2262,Natural,,,2234
2260,White,,,2232
2259,Natural,,,2231
2255,Natural,,,2227
2250,White,,,2222
2251,White,,,2223
2270,Natural,,,2242
2269,Natural,,,2241
2258,Natural,,,2230
2256,Natural,,,2228
2254,White,,,2226
2253,White,,,2225
2252,White,,,2224
2033,11,,,1209
2034,12,,,1209
2049,805,,,1208
2047,810,,,1208
2051,803,,,1208
2046,2001,,,1208
2045,823,,,1208
2050,804,,,1208
2052,802,,,1208
2048,806,,,1208
2053,821,,,1208
2054,811,,,1208
2055,812,,,1208
2056,800,,,1208
2059,34,,,1191
2060,35,,,1191
2062,37,,,1191
2063,4,,,1191
2068,22,,,1191
2057,1,,,1191
2065,9,,,1191
2066,10,,,1191
2069,23,,,1191
2078,32,,,1191
2094,RL2033,,,2071
2095,RJ6095,,,2072
2096,CK1964,,,2073
2097,RL4048,,,2074
2098,RK3245,,,2075
1064,D9672D,,,1471
1065,RJ9195,,,1472
2067,21,,,1191
2073,27,,,1191
2076,30,,,1191
2109,RK6128,,,2086
2108,RK6091,,,2085
2107,RK5477,,,2084
2106,RK4311,,,2083
2105,RH7168,,,2082
2104,RK4096,,,2081
2103,RK7103,,,2080
2102,RK6238,,,2079
2101,RL7026,,,2078
2100,RK4049,,,2077
2099,RJ6436,,,2076
2317,007144,,,2245
2354,008656,,,2247
2355,008114,,,2247
2351,001780,,,2271
2356,008685,,,2270
2349,000001,,,2269
2348,000001,,,2268
2323,008518,,,2245
2326,007636,,,2245
2327,007634,,,2245
2328,007968,,,2245
2329,008365,,,2245
2272,Natural,,,2244
2070,24,,,1191
2273,007994,,,2245
2279,007556,,,2251
2280,007117,,,2251
2276,000615,,,2248
2274,006885,,,2246
2339,000009,,,2259
2347,008747,,,2267
2346,000001,,,2266
2345,000009,,,2265
2344,000615,,,2264
2343,000001,,,2263
2342,000001,,,2262
2340,007587,,,2260
2338,000001,,,2258
2337,007991,,,2257
2336,008431,,,2256
2335,007291,,,2255
2334,000202,,,2254
2332,006700,,,2252
2278,000001,,,2250
2275,007159,,,2247
2341,002697,,,2261
2283,007554,,,2251
2285,005832,,,2251
2287,000615,,,2251
2290,005899,,,2248
2291,008229,,,2248
2289,008023,,,2248
2300,008094,,,2246
2303,005701,,,2246
2307,008184,,,2246
2306,007135,,,2246
2350,006533,,,2270
2357,002409,,,2270
2358,008684,,,2270
2359,008472,,,2272
2352,008719,,,2272
2360,001780,,,2272
2361,007124,,,2267
2362,008110,,,2267
2364,008156,,,2267
2365,008434,,,2267
2368,008432,,,2267
2363,007485,,,2267
2367,001780,,,2267
2369,008433,,,2267
2366,006959,,,2267
2372,000615,,,2267
2370,000017,,,2267
2371,001704,,,2267
2373,000001,,,2265
2374,000013,,,2265
2375,000013,,,2259
2376,007292,,,2255
2379,006545,,,2255
2377,006686,,,2255
2382,006112,,,2255
2380,007976,,,2255
2378,008062,,,2255
2383,006549,,,2255
2384,000615,,,2255
2385,008469,,,2253
2333,008436,,,2253
2387,001780,,,2253
2386,007668,,,2253
2389,008470,,,2253
2388,008437,,,2253
2390,007148,,,2253
2391,000615,,,2253
2277,160001,,,2249
2392,008439,,,2247
2394,008050,,,2247
2393,008657,,,2247
2395,008655,,,2247
2396,008658,,,2247
2397,008653,,,2247
2311,007633,,,2245
2310,007877,,,2245
2314,005538,,,2245
2315,007949,,,2245
2313,000615,,,2245
2309,007982,,,2245
2304,007377,,,2246
2308,007134,,,2246
2319,007635,,,2245
2318,008040,,,2245
2316,007969,,,2245
2320,003172,,,2245
2321,007204,,,2245
2601,any color possible,,,2342
1175,Cacao,,,734
2322,008043,,,2245
2324,006686,,,2245
2325,008551,,,2245
2330,007967,,,2245
2305,000615,,,2246
2399,007262,,,2246
2400,008093,,,2246
2331,007964,,,2245
2403,004387,,,2261
2406,007705,,,2261
2402,000002,,,2261
2404,008643,,,2261
2405,008642,,,2261
2407,008072,,,2261
2408,008648,,,2261
2409,008645,,,2261
2410,001492,,,2261
2411,008131,,,2261
2412,007720,,,2261
2413,003318,,,2261
2414,002697,,,2261
2415,007894,,,2261
2416,007989,,,2261
2417,008646,,,2261
2418,007991,,,2261
2419,008129,,,2261
2420,001852,,,2261
2421,008644,,,2261
2423,007822,,,2261
2424,000615,,,2261
2427,002596,,,2261
2589,rich gold,16-0836,c8b273,2014
2602,any color possible,,,2343
2603,any color possible,,,2344
2604,any color possible,,,2345
2422,007570,,,2261
2425,008647,,,2261
2426,008209,,,2261
2430,007902,,,2260
2432,007901,,,2260
2433,007725,,,2260
2431,007724,,,2260
2434,007262,,,2260
2435,007571,,,2260
2437,007904,,,2260
2439,007121,,,2260
2441,007587,,,2260
2442,002559,,,2260
2443,001492,,,2260
2444,008131,,,2260
2446,006111,,,2260
2448,008129,,,2260
2447,007573,,,2260
2449,007991,,,2260
2450,007588,,,2260
2451,004752,,,2260
2452,002607,,,2260
2453,007572,,,2260
2455,007178,,,2260
2428,005832,,,2260
2429,004387,,,2260
2436,003428,,,2260
2438,000017,,,2260
2590,cameo rose,14-1310,d7b8ab,2014
2625,pirate black,19-4305,363838,278
2440,007990,,,2260
2445,007720,,,2260
2454,007570,,,2260
2456,000615,,,2260
2458,007527,,,2256
2457,002697,,,2256
2459,007492,,,2256
2463,007309,,,2256
2460,008430,,,2256
2462,007965,,,2256
2461,007169,,,2256
2465,007194,,,2256
2464,008382,,,2256
2467,007168,,,2256
2466,007252,,,2256
2468,006469,,,2256
2469,007481,,,2256
2470,006926,,,2256
2472,007486,,,2256
2473,005313,,,2256
2475,003263,,,2256
2474,008263,,,2256
2471,007386,,,2256
2476,007241,,,2256
2480,008560,,,2256
2478,006981,,,2256
2479,008431,,,2256
2481,008234,,,2256
2482,007457,,,2256
2484,006203,,,2256
2597,any color possible,,,2338
2598,any color possible,,,2339
2477,000615,,,2256
2483,007253,,,2256
2485,006898,,,2254
2487,003086,,,2254
2488,006697,,,2254
2489,004374,,,2254
2486,002532,,,2254
2490,003996,,,2254
2491,003396,,,2254
2492,007168,,,2254
2493,004100,,,2254
2497,002367,,,2254
2496,005119,,,2254
2498,005444,,,2254
2494,007556,,,2254
2500,007221,,,2254
2499,007279,,,2254
2502,007713,,,2254
2501,004501,,,2254
2503,007486,,,2254
2507,004509,,,2254
2504,000029,,,2254
2505,003162,,,2254
2506,002407,,,2254
2509,005087,,,2254
2510,008406,,,2254
2512,005548,,,2254
2511,006150,,,2254
1095,- Olive,19-0511,545144,728
2592,- Black Navy,19-4013,232f36,728
2593,- Caramel,16-1212,b49f89,728
2594,- RL Tan,15-1114,ae997d,728
2599,any color possible,,,2340
2600,any color possible,,,2341
2495,001479,,,2254
2508,000615,,,2254
2513,007262,,,2252
2515,006098,,,2252
2517,001780,,,2252
2518,000615,,,2252
2519,006697,,,2252
2520,002510,,,2252
2522,008144,,,2252
2514,008146,,,2252
2516,007500,,,2252
2521,007668,,,2252
2524,007460,,,2252
2523,007069,,,2252
2261,Natural,,,2233
2257,Natural,,,2229
266,006981,,,500
358,008267,,,649
2627,any color possible,,,2366
2628,any color possible,,,2367
2629,any color possible,,,2368
2630,any color possible,,,2369
2631,any color possible,,,2370
2731,red & turquoise jacquard,,,2470
2796,reactive dyes acc. Reach,,,2535
2845,any color possible,,,2584
2846,any color possible,,,2585
2790,Black Navy,19-4013,232f36,2529
2795,reactive dyes acc. Reach,,,2534
2791,Caramel,16-1212,b49f89,2530
2793,Gray,,,2532
2792,Olive,19-0511,545144,2531
2794,Red,,,2533
2595,Standard,,,2336
289,optical white,,,548
2687,optical white,,,2426
409,Caramel,16-1212,b49f89,734
1171,Black Navy,19-4013,232f36,734
2861,Cinnamon,,,734
2862,Classic Green,,,734
2863,Earth,,,734
2864,Hawaiian Ocean,,,734
2865,Radiant Yellow,,,734
2866,Stone,,,734
2867,White Stone,,,734
2868,Yellow Lemon,,,734
407,Olive,19-0511,545144,732
2869,Dark navy,19-4013,232f36,732
2870,Charcoal,,,732
2871,Stone,,,2529
2872,Spicy Orance,,,1802
2873,Stone,,,2530
2874,Olive,19-0511,545144,2530
2875,Duffle Bag,,,2530
2876,Black TL,,,2530
2878,Charcoal,,,2532
