id,created_at,updated_at,code,fabric_weave,currency,supplier_id,price,name,fabric_blend_one,fabric_blend_one_percent,fabric_blend_two,fabric_blend_two_percent,fabric_blend_three,fabric_blend_three_percent,weight,weight_unit,end_use/0,end_use/1,end_use/2,fabric_type,price_unit,status,deleted_at,only_for_brands/0,published,description,dispatch_time_sample,factory_location,construction,width,width_unit,finishing,properties/0,dispatch_time_mass_quantity_min,dispatch_time_mass_quantity_max,origin,colour,tsa_stamps,minimal_order_quantity,crowd_source_available,moq_details,uuid,notify_fc_team,moq,swatch_price,swatch_quantity,archived_at,end_use/3,end_use/4,only_for_brands/1,properties/1,properties/2,properties/3,properties/4,properties/5,properties/6,properties/7,only_for_brands/2,end_use/5,properties/8,only_for_brands/3,only_for_brands/4,only_for_brands/5,only_for_brands/6,only_for_brands/7,end_use/6,end_use/7,only_for_brands/8,only_for_brands/9,only_for_brands/10,only_for_brands/11,only_for_brands/12,only_for_brands/13,only_for_brands/14,only_for_brands/15,only_for_brands/16,only_for_brands/17,only_for_brands/18,only_for_brands/19,only_for_brands/20,only_for_brands/21,only_for_brands/22
158,2019-03-17T15:36:57.940Z,2021-06-18T11:30:55.561Z,SC68LDA07,Dobby,USD,1,4.8,XXXXXXXXXX Weft Stretch Dobby Polyester 1,Polyester (PET),100,,,,,107,g/m2,Activewear|Performance,,,Woven,m,private,,archive,TRUE,"2 Layer melange fabric. Stretchy, soft and cotton-like handfeel.",5-7 days,Taiwan,168*120/50D*50D,135,cm,"DWR, W/P 10K mm(JIS L1092 B), M/P10K gm/sq.m*24hr(JIS L1099 B1)",Waterproof (W/P)|Breathable,,,,,,5000,,,d9c95599-c967-4551-8c86-9e2057b29877,FALSE,5000,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,2019-03-17T15:45:19.298Z,2021-06-18T11:30:55.627Z,SC85R5R7,Plain,USD,1,5.25,XXXXXXXXXXbial Four Way Stretch Plain Nylon 2,Nylon / Polyamide,86,Elastine / OP / Spandex,14,,,81,g/m2,Activewear|Top,,,Woven,m,private,,archive,TRUE,"4-Way Stretch full-dull check pattern fabric. Light-weight, cool and dry touch.",5-7 days,Taiwan,137*125/40D20OP+40D20OP*40D20OP+40D20OP,137,cm,Wicking+Anti-Microbial,Wicking (Quick Dry)|Anti-Microbial,,,,,,5000,FALSE,,81d02583-8a99-4c6f-8e55-ac4d13c89342,FALSE,5000,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,2020-08-28T11:27:55.450Z,2021-06-19T22:09:07.178Z,DHRD20190221,Single Jersey,USD,59,4.69,XXXXXXXXXXtton Jersey,Organic Cotton,100,,,,,121,g/m2,Base Layer,T-Shirt,,Knit,m,public,,,TRUE,"Soft, dyed and slub look",7-10 days,Turkey,,170,cm,Softener,,21,28,,,,1000,,-,92ff1043-5955-4302-b87d-db9d5eb74623,FALSE,1000,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,2020-03-30T14:17:21.133Z,2021-06-18T12:08:33.630Z,F19B0294PNFK04,Single Jersey,USD,26,5.78,XXXXXXXXXXtretch Bio-based Nylon,Bio-based Nylon,45,Nylon / Polyamide,40,Elastane / OP / Spandex,15,131,g/m2,Leggings / Yoga Pants,Sports Bra,T-shirt,Knit,m,public,,,TRUE,,5-7 days,Taiwan,,129,cm,PFC Free DWR,Durable Water Repellent (DWR),60,72,,,,3000,,Min Colour Quantity: 1000/colour. Can make up to 5m sampling yardage,516ac28d-900e-400c-a740-01beccdd1f84,FALSE,3000,2,0,,Sweatshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,2020-03-31T18:46:10.087Z,2021-04-08T11:30:51.293Z,SFWOCH7027L3/285/T,Twill,USD,27,13.8,XXXXXXXXXXic Cotton stretch Twill,Organic Cotton,57,Hemp,40,Elastane / OP / Spandex,3,285,g/m2,Pants,Shorts,,Woven,m,public,,,TRUE,"Symphony Fabrics are GOTS certified and ensure that no animal testing is done on their products. Their fabric processing facility is OEKO-TEX certified, and they use AZO-free/GOTS compliant dyes and comply with all regional norms for Effluent Treatment Plants (ETPs) in India. Organic fibres are grown using a production system that replenishes the soil and maintains its fertility. No synthetic pesticides nor synthetic fertilisers are allowed, while at the same time contributing to biologically diverse agriculture.  Bemberg (Cupro) is made from regenerative cotton, it renews the soil with each growth cycle.",5-7 days,India,,142,cm,Oeko-Tex compliant Azo-free dyeing,,45,50,virtualexpo,,"Bio, Wat, En",1000,FALSE,,f6e5a197-7448-40df-86bb-879f91059d84,FALSE,1000,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,2020-06-02T13:40:10.041Z,2021-06-18T12:08:33.830Z,F19Q0088QD,,USD,26,4.41,XXXXXXXXXXtch Recycled Nylon Spandex,Recycled Nylon,80,Elastane / OP / Spandex,20,,,88,g/m2,Pants,Jacket,Sweatpant,Woven,m,public,,,TRUE,,5-7 days,Taiwan,,135,cm,PFE-Free W/R,Wicking (Quick Dry),60,72,,,,3000,FALSE,Min Colour Quantity: 1000/colour. Can make up to 5m sampling yardage,470f5d75-63a7-4d91-adc8-297b6c737d93,FALSE,3000,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738,2020-10-15T08:33:06.867Z,2021-06-18T12:08:34.800Z,LFS12468AQD,pique,USD,26,3.15,XXXXXXXXXXgradable Recycle Polyester 3,Biodegradable Polyester,100,,,,,92,g/m2,Leggings / Yoga Pants,Sports Bra,Sweatshirt,Knit,m,public,,,TRUE,Biodegradable Polyester made from recycled raw material,5-7 days,Taiwan,,149,cm,Wicking,Wicking (Quick Dry),60,72,,,,3000,,Min Colour Quantity: 1000/colour. Can make up to 5m sampling yardage,f10c6948-b49f-4c87-a44f-e66980bbb9b2,FALSE,3000,2,4,,Jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2020-10-15T08:33:06.845Z,2021-06-18T12:08:34.830Z,LFS12470APNF,Single Jersey,USD,26,3.68,XXXXXXXXXXgradable Recycle Polyester  2,Biodegradable Polyester,100,,,,,100,g/m2,Leggings / Yoga Pants,Sports Bra,Sweatshirt,Knit,m,public,,,TRUE,Biodegradable Polyester made from recycled raw material,5-7 days,Taiwan,,152,cm,PFC Free WR,Water Repellent (W/R),60,72,,,,3000,,Min Colour Quantity: 1000/colour. Can make up to 5m sampling yardage,7544500a-2707-4744-b74c-8d31d40ad80b,FALSE,3000,2,1,,Jacket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,2020-09-26T05:46:27.303Z,2020-11-09T18:06:45.813Z,LU-17H007 FR6195W/69,,USD,39,0.75,XXXXXXXXXX195W/69,Polyester (PET),100,,,,,52,g/m2,,,,Woven,m,private,,Basix,TRUE,Inventory from 17SS. Color Navy,5-7 days,Thailand,106x84/56Tx84T,149,cm,P/D,,5,7,,,,0,,,67f843d2-04cd-4574-8e4f-a0edbd525e12,FALSE,0,2,3,,,,Diana Bobina,,,,,,,,Dimpora,,,RePurpose,Takalar,,,,,,,,,,,,,,,,,,,,
201,2019-03-27T11:17:03.639Z,2020-05-28T12:43:29.162Z,MX-58582RMDL5B5,Twill,USD,3,9.8,XXXXXXXXXX Weft Stretch Twill Nylon Spandex,Nylon / Polyamide,85,Elastine / OP / Spandex,15,,,250,g/m2,Hard Shell Jacket,Performance,,Woven,m,private,,Demo,TRUE,"Microporous dot lamination. Bonding with 30D jersey. Solid, lustre, drapery. Anti-snagging. Strong wind-proof.",5-7 days,Taiwan,156*126/70D+40DOP*70D+40DOP,137,cm,"Hydrophilic Milky Dot Lamination
C6 DWR
W/P 10k mm (JIS L1092 B)
M/P 4k gm/m2/24hr (JIS L1099 B1)",Durable Water Repellent (DWR),,,,,,0,,,6a288613-c609-4659-9c0c-18558689d9bd,FALSE,0,2,3,,,,KJus,Waterproof (W/P),Breathable,,,,,,Mammut,,,MCM Worldwide,On Running,Takalar,,,,,,,,,,,,,,,,,,,
