id,material_id,starts_from,price,created_at,updated_at
3368,2356,300,7.9,2021-07-29T15:11:11.806Z,2021-07-29T15:11:11.806Z
3369,2099,50,6.61,2021-07-29T15:11:11.829Z,2021-07-29T15:11:11.829Z
3370,2099,300,5.75,2021-07-29T15:11:11.832Z,2021-07-29T15:11:11.832Z
3371,2102,50,9.03,2021-07-29T15:11:11.864Z,2021-07-29T15:11:11.864Z
3372,2102,300,7.85,2021-07-29T15:11:11.866Z,2021-07-29T15:11:11.866Z
3373,2100,50,10.98,2021-07-29T15:11:11.885Z,2021-07-29T15:11:11.885Z
3374,2100,300,9.55,2021-07-29T15:11:11.888Z,2021-07-29T15:11:11.888Z
3375,2104,50,9.09,2021-07-29T15:11:11.919Z,2021-07-29T15:11:11.919Z
3376,2104,300,7.9,2021-07-29T15:11:11.922Z,2021-07-29T15:11:11.922Z
3377,2109,50,12.19,2021-07-29T15:11:11.945Z,2021-07-29T15:11:11.945Z
3378,2109,300,10.6,2021-07-29T15:11:11.948Z,2021-07-29T15:11:11.948Z
3379,2110,50,12.36,2021-07-29T15:11:11.983Z,2021-07-29T15:11:11.983Z
3380,2110,300,10.75,2021-07-29T15:11:11.985Z,2021-07-29T15:11:11.985Z
3381,2105,50,9.03,2021-07-29T15:11:12.097Z,2021-07-29T15:11:12.097Z
3382,2105,300,7.85,2021-07-29T15:11:12.099Z,2021-07-29T15:11:12.099Z
3383,2107,50,9.83,2021-07-29T15:11:12.127Z,2021-07-29T15:11:12.127Z
3384,2107,300,8.55,2021-07-29T15:11:12.129Z,2021-07-29T15:11:12.129Z
3385,2112,50,7.99,2021-07-29T15:11:12.152Z,2021-07-29T15:11:12.152Z
3386,2112,300,6.95,2021-07-29T15:11:12.155Z,2021-07-29T15:11:12.155Z
3387,2115,50,5.69,2021-07-29T15:11:12.183Z,2021-07-29T15:11:12.183Z
3388,2115,300,4.95,2021-07-29T15:11:12.185Z,2021-07-29T15:11:12.185Z
3389,2114,50,8.11,2021-07-29T15:11:12.214Z,2021-07-29T15:11:12.214Z
3390,2114,300,7.05,2021-07-29T15:11:12.216Z,2021-07-29T15:11:12.216Z
3391,2117,50,4.43,2021-07-29T15:11:12.244Z,2021-07-29T15:11:12.244Z
3392,2117,300,3.85,2021-07-29T15:11:12.246Z,2021-07-29T15:11:12.246Z
3393,2116,50,10.98,2021-07-29T15:11:12.276Z,2021-07-29T15:11:12.276Z
3394,2116,300,9.55,2021-07-29T15:11:12.279Z,2021-07-29T15:11:12.279Z
3395,2118,50,9.37,2021-07-29T15:11:12.307Z,2021-07-29T15:11:12.307Z
3396,2118,300,8.15,2021-07-29T15:11:12.309Z,2021-07-29T15:11:12.309Z
3397,2119,50,6.38,2021-07-29T15:11:12.333Z,2021-07-29T15:11:12.333Z
3398,2119,300,5.55,2021-07-29T15:11:12.335Z,2021-07-29T15:11:12.335Z
3247,2164,31,12.21,2021-07-29T15:04:06.776Z,2021-07-29T15:04:06.776Z
3248,2164,100,11.1,2021-07-29T15:04:06.779Z,2021-07-29T15:04:06.779Z
3249,1796,31,18.81,2021-07-29T15:04:06.800Z,2021-07-29T15:04:06.800Z
3250,1796,100,17.1,2021-07-29T15:04:06.803Z,2021-07-29T15:04:06.803Z
3251,2150,31,26.73,2021-07-29T15:04:06.824Z,2021-07-29T15:04:06.824Z
3252,2150,100,24.3,2021-07-29T15:04:06.826Z,2021-07-29T15:04:06.826Z
3253,2170,31,21.78,2021-07-29T15:04:06.847Z,2021-07-29T15:04:06.847Z
3254,2170,100,19.8,2021-07-29T15:04:06.850Z,2021-07-29T15:04:06.850Z
3255,2151,31,10.56,2021-07-29T15:04:06.871Z,2021-07-29T15:04:06.871Z
3256,2151,100,9.6,2021-07-29T15:04:06.874Z,2021-07-29T15:04:06.874Z
3257,2168,31,11.22,2021-07-29T15:04:06.895Z,2021-07-29T15:04:06.895Z
