id,name,fabric_factory_country,dyeing_factory_country,created_at,updated_at,website,fabric_type,specialty,end_uses,fibers,status,deleted_at,years_of_work,origin,ban_selling_fabrics,currency
50,XXXXXXXXXXARTI,,,2020-06-30T12:38:29.074Z,2020-11-20T12:58:46.546Z,wwwXXXXXXXXXXXXXXXXXX,Leather,"Innovative, Leather, Small Order",,,active,,,virtualexpo,TRUE,USD
49,XXXXXXXXXXt Fabrics,,,2020-06-30T10:33:25.517Z,2021-01-14T10:31:39.172Z,wwwXXXXXXXXXXXXXXXXXX,Knit,"Cellulose, Wovens",,"Cellulose, upcycled natural / synthetics fibre, seaweed fibre",active,,,virtualexpo,FALSE,USD
48,XXXXXXXXXX,,,2020-06-23T11:55:56.011Z,2021-06-16T21:06:08.157Z,httXXXXXXXXXXXXXXXXXX,"Woven, Print",Silk,Luxe,"Natural Fibre, Upcycled Natural Fibre",active,,,,FALSE,EUR
47,XXXXXXXXXX,,,2020-06-18T11:30:30.521Z,2020-06-18T11:41:07.999Z,httXXXXXXXXXXXXXXXXXX,,,,,active,,,,,USD
46,XXXXXXXXXXUTO SpA,,,2020-06-10T12:12:07.832Z,2020-06-10T12:16:30.961Z,wwwXXXXXXXXXXXXXXXXXX,Woven,,,"Organic Cotton, Organic Silk",active,,,virtualexpo,,USD
45,XXXXXXXXXX,,,2020-06-06T14:40:07.958Z,2020-06-06T14:40:50.307Z,httXXXXXXXXXXXXXXXXXX,,,,,active,,,,,USD
44,XXXXXXXXXX,,,2020-06-03T16:01:55.952Z,2021-06-03T10:48:56.350Z,httXXXXXXXXXXXXXXXXXX,Knit,Recycled Natural Fibre,,"Recycled Wool, Recycled Cotton",active,,,,FALSE,EUR
43,XXXXXXXXXX,,,2020-06-02T17:33:12.882Z,2020-06-22T12:08:07.410Z,httXXXXXXXXXXXXXXXXXX,,,,,active,,,,,USD
42,XXXXXXXXXXNATEX AG,,,2020-06-02T17:11:58.664Z,2020-06-11T08:16:08.293Z,wwwXXXXXXXXXXXXXXXXXX,,"Wovens, Innovative",,,active,2020-06-11T08:16:08.293Z,,virtualexpo,,
41,XXXXXXXXXX,,,2020-06-02T16:54:55.061Z,2020-06-11T08:08:50.721Z,httXXXXXXXXXXXXXXXXXX,,,,,active,2020-06-11T08:08:50.721Z,,virtualexpo,,
40,XXXXXXXXXX,,,2020-06-01T20:48:03.820Z,2020-06-01T20:48:51.665Z,httXXXXXXXXXXXXXXXXXX,,,,,active,,,,,USD
