id,status,type,quantity,requested_at,closed_at,delay_days,delay_note,material_id,user_id,project_id,created_at,updated_at,order_id,price,price_unit,surcharge,accepted_at,deleted_at,origin_quantity,variant_id,currency,bought_price
401,available,sample,5,2020-07-10T09:17:43.719Z,2020-07-22T08:48:31.710Z,0,RC112A replace the N-RC341A,794,151,,2020-07-10T09:17:18.583Z,2020-09-02T07:51:00.537Z,,4,,,,,,422,,
414,available,sample,3,2020-07-17T09:59:01.552Z,2020-07-29T01:29:39.311Z,0,"Article is available on col.Clay as per picture, also available on col.black if needed. 
Price € 12/mt over 300mts (+35% for lower quantities)",1187,108,,2020-07-17T09:53:46.523Z,2020-09-02T07:51:00.606Z,,12,,0,,,,791,,
1680,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,2074,284,,2021-04-29T15:50:38.020Z,2021-05-26T06:51:30.444Z,234,2,,,,,,2097,USD,2
486,delivered,sample,16,2020-07-27T10:26:16.244Z,,0,ok we hv the cols. 8149 + 6885 ,492,168,,2020-07-24T18:45:14.182Z,2021-05-03T19:23:59.009Z,135,10.89,,,,,,258,USD,174.24
1681,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,2110,284,,2021-04-29T15:50:55.584Z,2021-05-26T06:51:30.461Z,234,2,,,,,,2138,USD,2
1679,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,2075,284,,2021-04-29T15:49:57.722Z,2021-05-26T06:51:30.429Z,234,2,,,,,,2098,USD,2
1685,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1320,284,,2021-04-29T15:58:13.302Z,2021-05-26T06:51:30.477Z,234,2,,,,,,915,USD,2
1682,delivered,swatch,2,2021-04-29T16:17:53.656Z,,,,2103,284,,2021-04-29T15:51:28.540Z,2021-05-26T06:51:30.493Z,234,2,,,,,,2131,USD,4
1683,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,2102,284,,2021-04-29T15:52:20.953Z,2021-05-26T06:51:30.508Z,234,2,,,,,,2130,USD,2
563,delayed,sample,1,2020-08-03T13:32:26.865Z,2020-08-27T04:53:21.710Z,45,"This item is out of stock. But it can be produced on demand. It will take around 45 days to receive it.
Alternatively, you can choose other colors listed on the website.",1379,260,,2020-08-03T13:25:09.930Z,2020-09-02T07:51:01.599Z,,39.6,,,2020-08-05T12:37:55.958Z,,,972,,
1684,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1197,284,,2021-04-29T15:56:45.222Z,2021-05-26T06:51:30.524Z,234,2,,,,,,801,USD,2
1686,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1199,284,,2021-04-29T15:59:04.597Z,2021-05-26T06:51:30.539Z,234,2,,,,,,803,USD,2
494,delivered,sample,4,2020-07-27T10:26:16.244Z,,0,"Only colour grey is available for immediate sampling, to produce different colours we need a minimum order of 1 roll (50 meters)",844,168,,2020-07-24T18:57:17.519Z,2021-05-03T19:23:59.087Z,135,36.5,,5,2020-07-27T13:16:57.532Z,,,463,USD,151
579,delivered,sample,2,2020-08-05T12:47:27.776Z,,0,We have only small size available. But bigger sizes will be available in Sptember/ October.,1403,260,,2020-08-05T12:46:55.345Z,2021-05-03T19:23:59.118Z,139,12.76,,,,,,996,USD,25.52
1687,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,899,284,,2021-04-29T16:00:07.698Z,2021-05-26T06:51:30.553Z,234,2,,,,,,518,USD,2
1688,delivered,swatch,2,2021-04-29T16:17:53.656Z,,,,856,284,,2021-04-29T16:00:40.691Z,2021-05-26T06:51:30.568Z,234,2,,,,,,475,USD,4
1689,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,930,284,,2021-04-29T16:01:25.988Z,2021-05-26T06:51:30.582Z,234,2,,,,,,549,USD,2
1691,delivered,swatch,1,2021-04-29T16:17:53.656Z,,,,1141,284,,2021-04-29T16:03:46.901Z,2021-05-26T06:51:30.597Z,234,2,,,,,,752,USD,2
560,delivered,sample,1,2020-08-03T13:32:26.865Z,,0,,1334,260,,2020-08-03T13:18:14.356Z,2021-05-03T19:23:59.209Z,139,25,,,,,,927,USD,25
679,available,sample,1,2020-09-14T12:20:43.460Z,2020-09-14T14:18:33.618Z,0,,1406,281,,2020-09-14T12:20:38.141Z,2020-09-14T14:18:33.624Z,,12.76,,,,,,999,,
1488,delivered,swatch,1,2021-03-14T14:51:36.110Z,,,,1476,433,,2021-03-14T14:38:42.656Z,2021-05-03T19:23:59.224Z,219,0,,,,,,1069,USD,0
682,delivered,sample,5,2020-09-15T08:43:25.350Z,,0,,497,168,,2020-09-14T20:21:48.990Z,2021-05-03T19:23:59.270Z,146,8.07,,,,,,1216,USD,40.35
653,delivered,swatch,1,2020-08-25T12:01:59.516Z,,,,1134,264,,2020-08-25T11:36:53.937Z,2021-05-03T19:24:03.500Z,143,0,,,,,,745,USD,0
