id,colour_name,pantone,hex,material_id,created_at,updated_at,deleted_at,image,leftover
254,007577,,,488,2020-09-02T07:48:26.436Z,2021-02-18T09:19:32.191Z,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACIAAAAjCAYAAADxG9hnAAAJU0lEQVRYRz2YWW8T2RaFd7lsl+Mhk4E4EzTz9IAA8SNQSzQkN1yQuA3p+9j3AR5u/0gkECCmZiYMCTiDndguD1U+rW+VKyWiKtc5Zw9rrb3PKbybN2+6KIos7IQ2vzBv2WzWDhw4YG/fvrVPnz7Z7OyseZ5njUbDzp8/r+dKpWKvX7+2vb09C4LAcrmctdttjbPmxIkT1mw2rdPpGLa/f/9uvu/b6dOnbWNjw06dOmX1+pZtrG9YLu9bv9837/r16244HBrX1NSUDB4+fNjevHljCwsL9uPHD03EIX/OOTkkkGKxqIAJnmfGC4WC1r1//17vnjx5YtVq1ebn5zVeLpdtbGxM6/L5vAJjjXf16lVXKpXkbGtryy5evKhMpqenNRnHXGTN+1qtZoPBQM4IBmMgg43NzU27dOmSra2tKZmvX79qLegQBAmfPHnSPn/+LKRBjyRAzfvfn3+6N6OsiAyD6T0MQyGEITd0VionY2RKAEDOc71eVyJzc3Oi8ODBg0L348ePopE76w4dOmTb29sKhnnYheqdnR3z7v3+u+tHkSZgFOdwyW/gfP78uZz2ej0Zw8CVK1fkHIePHj3SOGhNTExIC6BF1twfPnwoFHHIH+Nnz55VcKDM/dy5c+bd+vdNFxTGlB0wTU5OWqvVUhAYJ2pQAn5+AzlBAG0mk9F7UINCxhFqt9u1mZkZ8b+7uysqgR/7i4uLksCxY8ekI8aw4/31/7/c2pe1fa7jONYAE799+yahwSXRkxE84xTUCAiHCJtgxsfHhRpiBB2yZZw7F4jzhx0qk/ck+fPnT/Pu3LnjEFKaPRQAKRRduHBB1KQZoQMCRQspegiS9wSFcRCgPKk20Hn37p3GuUAF+5cvX9Y4lFFVJObdvn3bYfjDhw9CInVaLpVtdm5WMKMBomcBz6DCHXqoFJ7X19eFCBfjjO00toVUqUjWdemDYEmmNjtjvW7X1ta+Sg7egwcPHNADGahw4RDVU4agAvSMox2QSFHDINR9+fJFwZAlwZD5kSNHrLHTtLn5efvw4Z0SJCkoZt2pU2dGNMf29OlT81ZWVhxOEOGzZ8/ELwJkMr0Ew6qabs8+r322jOdbsVSy3d2GKIRjhI5zaCFQ1pAMOqN6oIYACIQ/qo1xhIsvKtFbWlpyBEH2VArZEQSGgZGJGIRrAmu3QxlzLgkU6NMKIAnKnmBwTBdNx1+8eKEkQRMJMI6Q6SHM89hrMAwVwMwAFLAAo0ePHtXvhYVFC8Oura9/UzYYBW6y4xnUmA89JAIqrKNnkBzNjDHoZx1CZR7vkYb2GpySPQtpLlBER8Qw5YjIqtWDtrG+boePLO6jlu4xoJc6QvhUEg4JMA0aGhE8FYqflC4Cwo63vLzsmEwwGCFKc/xzajyapP5hyj6K+mpyhQIwd5UdQaebpXqC52kOFFDWtHRVSq0mPdAaQB59wcaZM2fMu3XrlhtGsQaDQsGiONEGC3FAWVOOaRMi4LRrEiTBps0KrrnQ2uPHj/XMOxDD3vHjx4UyMnj16pXQolC4vLt377qc71uj0bRWu2XT1aqiRMDAS0Y4RwPASRAIGHT4jWFQISgCxgm/oYA7zug1ZE8waAbhc3EGyuWTju3dv3/fASdawClXuvviEMcs5B1QUy3ZXM6q01VrtdpWCApW36yLdzSBQy40g0inJqdsd29XwYMwzYvE2AIYJ3hVDWKlWoAPR2mnJMq0PBmnV7BoMIitXCrZIBpYtTqdUBoEqgguUIRa3lPWoItN3jMPFNEKSJEcfUbUXLt2zbEQsaUOU6ipFqCGlhQ1MsMYmSNu1pER2RF8Sgfo8Jvsj/7yi31ZW1P5B2MFBUAgBIRdaZCqwRjZAy+D3NOtnSAwDtQsBjkqAr4JiD0lzZJ+gFH+yD49525tbpqf8W17e8vcKFj8YZc+9fLlS/P+WP2vq2/+3N/M4FFtuHpAhjrdUJllzBN1h2qztrGxLnE2GjvKLpcLLON55izZ7NgACY7AQZUuiuMfGxuiVYk4t7+n6fC8eu8PN4iS7Z2FQE/2g17yrjxeUYl6zlkm41suKEh0nU5L6HD1egMbxrFNTI5LG+nZBV2QFF1WfWRmxurahTNChjHm6Eth6cayOzRzUBVD9HCqg3KrbfPzc7bXbivrsJ0YHcRDZReG7f1uGgQF8Z/LZa0bhrawuCB6sUfjImMoRku+l7FabcZe/f239KcTHIiw6ZEZWeIQZ2QlaEcHZoRXyAcWRQNrsemprySnb9bRlDAYhj3xbjaU8LmgMBkLRV9xtPHV5uZEdWM72du06TGJBRihEoCLoMhGLd/MKqWyFkxOTVu707Ew7Fg0GNj4RAI7DW6zvmXxcGjdbkcIcNEvsEdgzUZD2TO/JHo7NjtTs22oX11ddWSvY1zYM2DmKlWSLEVLGGoxlBFsehJLKyuKholoM56NFcfsR72uqolGgi2Wy/tVxFoSTHUEPTo8c1SES0ouGsTm4uRwHFuSJYvonuxB6cGGEucZzhmnyRHoRKWsLGdma8nOnQ8kfs/PSHugIp2NWj8B8FufG8s3lpznZy3r+5YP8ipJskkpQVzp2UN0NRtCj8DRhza8sZI1mk3L5Xytg2ZQrNCBB5GZZxaJYs/4cKQZRn0SqVhjt5k0tF+vXnXlygQ7v/W6ob7mgC2lK2MmY+mpKzvapNIOS3AcEYJ83irjKUIDGScJtFIsl4QISCBoD+qLyVllaC6h6e5/7rnYQcvA+qMPIRBhcj4IVIKddsfiqJ+cPcYnrBOGoxLuKMOwvWfFYsm6/Z7oimPP+v3QhlHPhkNPPYN9CdpAjC4bdhPdsQnqzLqyvOJQemG0NxAlvFFqRrmNTvfZjCe4s/lk40o7cCEIrBtSZYE1Rx/jbpixYimw3QafsRUF7md9IUAVsQmmTY5K1HfNjd+WnODJZgVj2O0axv0Rz6qSSsX66h05lSeVtbW9nfzfiNblhCiI5HN5i2Jnwzgy3zfrdvuW8f3RAWlg/T5nlbz5PueXWBSCjLe8vOIq5bLtjTohL/Xlx4eRYI5V+5ziEJmf9SyOhzYYiQ9uhmTkeRpnHcLUxpfPS9gTk5PaRJVoGIpi9ZJSSYlAv7fyr5tO23cU2VihoIzdKEqqBUNCp93Z39iyWd+oNJBJy5FShE6EB82tvb2kDYx2Y55xjGixiy70WZHN6v4P90s5FmjKZ+kAAAAASUVORK5CYII=",0
141,,,,184,2020-09-02T07:48:24.857Z,2021-03-06T07:52:02.724Z,,,0
264,,,,498,2020-09-02T07:48:26.562Z,2021-02-18T09:19:32.259Z,,,8
142,,,,185,2020-09-02T07:48:24.869Z,2021-03-06T07:52:02.850Z,,,0
261,,,,495,2020-09-02T07:48:26.524Z,2021-02-01T09:59:31.338Z,,,4
1928,,,,1978,2021-01-29T16:43:45.655Z,2021-02-19T11:33:46.219Z,,,
1927,,,,1977,2021-01-29T16:43:45.628Z,2021-02-19T11:33:46.287Z,,,
1926,,,,1976,2021-01-29T16:43:45.597Z,2021-02-19T11:33:46.356Z,,,
1862,Black Beauty,19-3911,26262a,391,2021-01-19T08:17:42.365Z,2021-02-26T12:31:13.331Z,,,0
215,,,,309,2020-09-02T07:48:25.932Z,2021-03-06T08:21:47.870Z,,,0
